log2_N,Init_T,FFT_T,RMS_T,Total_T
8,3774,23230,1,27005
8,2954,22840,1,25795
8,2992,22580,1,25573
8,2948,22510,2,25460
8,3004,22666,1,25671
8,2984,22495,1,25480
8,2959,22523,1,25483
8,2958,22528,1,25487
8,2933,22573,1,25507
8,2961,22615,1,25577
9,14820,198272,2,213094
9,11606,195966,1,207573
9,11558,195731,1,207290
9,11577,196019,1,207597
9,11590,195490,1,207081
9,11600,195509,1,207110
9,11556,195553,0,207109
9,11568,196389,1,207958
9,11588,195572,1,207161
9,11571,196042,1,207614
10,59167,928724,1,987892
10,46139,919966,1,966106
10,46262,919605,1,965868
10,46028,920435,1,966464
10,46070,920241,1,966312
10,46025,920160,1,966186
10,46017,919950,1,965968
10,46162,919783,1,965946
10,46309,920368,1,966678
10,46192,919800,1,965993
11,237730,3990068,1,4227799
11,184312,3943388,1,4127701
11,184436,3944161,1,4128598
11,184646,3943602,1,4128249
11,183950,3944052,1,4128003
11,184095,3946569,1,4130665
11,183975,3943810,1,4127786
11,183907,3943998,1,4127906
11,183891,3944358,1,4128250
11,183952,3943282,1,4127235
