log2_N,Init_T,FFT_T,RMS_T,Total_T
8,3748,22739,1,26488
8,3028,22171,2,25201
8,2960,22075,1,25036
8,3183,22144,1,25328
8,2962,22053,1,25016
8,3011,22074,1,25086
8,2963,22015,2,24980
8,3010,22134,1,25145
8,2959,22053,1,25013
8,3013,22120,1,25134
9,14835,197321,1,212157
9,11615,194330,1,205946
9,11570,194547,2,206119
9,11579,194402,1,205982
9,11560,194349,1,205910
9,11596,194359,1,205956
9,11749,194611,1,206361
9,11563,194447,1,206011
9,11584,194453,1,206038
9,11564,194425,1,205990
10,59315,909355,1,968671
10,46000,900062,1,946063
10,46073,899743,1,945817
10,46040,899833,1,945874
10,46044,899959,0,946003
10,45975,899904,1,945880
10,46070,899769,1,945840
10,45973,900075,1,946049
10,46060,899863,1,945924
10,46062,899909,1,945972
11,238542,5455189,1,5693732
11,11622964,3811200,1,15434165
11,183621,3791087,1,3974709
11,183930,3791575,1,3975506
11,183634,3791628,1,3975263
11,183591,3791518,1,3975110
11,183777,3791576,1,3975354
11,183748,3791357,0,3975105
11,183700,3791513,0,3975213
11,183684,3791178,1,3974863
