log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,29,78,1014,1121
8,256,21,103,507,631
8,256,17,54,444,515
8,256,15,50,446,511
8,256,16,47,513,576
8,256,16,54,446,516
8,256,16,48,446,510
8,256,15,47,443,505
8,256,14,47,448,509
8,256,14,46,449,509
9,512,36,253,880,1169
9,512,36,114,859,1009
9,512,32,108,853,993
9,512,30,106,855,991
9,512,30,105,954,1089
9,512,33,114,864,1011
9,512,31,109,859,999
9,512,30,105,861,996
9,512,30,106,856,992
9,512,30,104,1024,1158
10,1024,90,336,1745,2171
10,1024,76,256,1640,1972
10,1024,70,243,1636,1949
10,1024,71,242,1634,1947
10,1024,70,241,1821,2132
10,1024,77,261,1635,1973
10,1024,71,244,1628,1943
10,1024,69,306,1755,2130
10,1024,75,256,1742,2073
10,1024,76,263,1741,2080
11,2048,200,743,3817,4760
11,2048,187,653,3414,4254
11,2048,240,697,3450,4387
11,2048,173,626,3279,4078
11,2048,245,624,3385,4254
11,2048,172,610,3379,4161
11,2048,168,725,3462,4355
11,2048,176,622,3279,4077
11,2048,159,594,3460,4213
11,2048,175,634,3455,4264
12,4096,449,1928,6941,9318
12,4096,381,1652,7204,9237
12,4096,381,1670,6935,8986
12,4096,373,1799,6991,9163
12,4096,377,1666,7010,9053
12,4096,419,1726,6942,9087
12,4096,384,1807,6973,9164
12,4096,440,1693,6817,8950
12,4096,368,1794,6974,9136
12,4096,372,1779,6831,8982
13,8192,1391,4940,23802,30133
13,8192,9057,4743,13485,27285
13,8192,791,4672,13503,18966
13,8192,792,4707,13352,18851
13,8192,795,4823,13460,19078
13,8192,793,4463,13698,18954
13,8192,793,4365,13605,18763
13,8192,791,4495,13579,18865
13,8192,869,4786,13443,19098
13,8192,886,4705,13373,18964
14,16384,1603,12048,27005,40656
14,16384,1608,11419,27023,40050
14,16384,1617,11301,27339,40257
14,16384,1607,11517,27343,40467
14,16384,1602,11345,27236,40183
14,16384,1603,11388,27159,40150
14,16384,1615,11370,26863,39848
14,16384,1616,11365,27016,39997
14,16384,1620,11341,27080,40041
14,16384,1601,11398,27040,40039
15,32768,4058,29347,54534,87939
15,32768,3451,27722,54253,85426
15,32768,3354,48599,104230,156183
15,32768,3350,57777,155017,216144
15,32768,3364,87956,142503,233823
15,32768,3260,27914,54145,85319
15,32768,3367,28012,54068,85447
15,32768,3448,27868,109798,141114
15,32768,3395,27763,55484,86642
15,32768,3335,27994,93789,125118
16,65536,8342,156284,111077,275703
16,65536,6962,72873,107601,187436
16,65536,6943,73050,107138,187131
16,65536,7808,73355,106398,187561
16,65536,6814,102456,117394,226664
16,65536,6858,82984,217132,306974
16,65536,6757,152788,148149,307694
16,65536,6827,73116,106309,186252
16,65536,6842,73858,125313,206013
16,65536,7035,87309,218650,312994
17,131072,36443,245439,312572,594454
17,131072,23872,288528,213374,525774
17,131072,14042,161236,231645,406923
17,131072,13874,222443,387856,624173
17,131072,14054,161703,213382,389139
17,131072,13865,161826,213047,388738
17,131072,13861,178947,217126,409934
17,131072,13692,161490,214405,389587
17,131072,13864,310831,656304,980999
17,131072,48187,316494,215152,579833
18,262144,33688,354029,435590,823307
18,262144,27755,343337,453087,824179
18,262144,27920,361278,644453,1033651
18,262144,57470,364480,437571,859521
18,262144,27910,341740,432446,802096
18,262144,27741,345439,711355,1084535
18,262144,27864,342772,432503,803139
18,262144,27802,345343,547888,921033
18,262144,57758,501536,432855,992149
18,262144,27892,391889,670339,1090120
19,524288,67216,695386,850916,1613518
19,524288,56576,696843,1036855,1790274
19,524288,100749,679870,857634,1638253
19,524288,55971,695565,1308123,2059659
19,524288,56123,677458,850773,1584354
19,524288,55634,696755,1082583,1834972
19,524288,55808,678623,869127,1603558
19,524288,55979,908698,850032,1814709
19,524288,56004,676713,861422,1594139
19,524288,64721,678862,1613243,2356826
20,1048576,136050,1847416,2047731,4031197
20,1048576,229394,1807565,2190126,4227085
20,1048576,112077,1724914,1940299,3777290
20,1048576,112031,1438427,1938809,3489267
20,1048576,112039,1443269,1937774,3493082
20,1048576,113388,1665466,1937306,3716160
20,1048576,112038,1437066,1742495,3291599
20,1048576,224198,1680744,1945650,3850592
20,1048576,112169,1895529,2010457,4018155
20,1048576,113176,1949082,1873699,3935957
21,2097152,549735,3957518,3679805,8187058
21,2097152,225447,3233982,4167617,7627046
21,2097152,377479,3204668,3732242,7314389
21,2097152,223897,3534242,3638690,7396829
21,2097152,224830,4676146,4110039,9011015
21,2097152,310850,3357724,4101029,7769603
21,2097152,224103,3305200,3632450,7161753
21,2097152,225619,3447576,3854541,7527736
21,2097152,223954,3421815,4393944,8039713
21,2097152,583951,3964234,3913583,8461768
22,4194304,542726,7905471,7550840,15999037
22,4194304,456158,8412879,8387717,17256754
22,4194304,467127,7685934,7378133,15531194
22,4194304,451325,8330176,8429398,17210899
22,4194304,644914,7586601,7342703,15574218
22,4194304,1196540,7625481,8631833,17453854
22,4194304,466601,8003329,7896145,16366075
22,4194304,449616,7251117,8041226,15741959
22,4194304,449401,7836571,7518533,15804505
22,4194304,448373,7248337,7868716,15565426
REL_RMS_ERR for log2_N:8
4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,4.8553209839e-08,
REL_RMS_ERR for log2_N:9
5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,5.6933234002e-08,
REL_RMS_ERR for log2_N:10
7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,7.3613910629e-08,
REL_RMS_ERR for log2_N:11
7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,7.1784869294e-08,
REL_RMS_ERR for log2_N:12
5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,5.6409114885e-08,
REL_RMS_ERR for log2_N:13
7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,7.5245948004e-08,
REL_RMS_ERR for log2_N:14
7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,7.8080634920e-08,
REL_RMS_ERR for log2_N:15
6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,6.6977522010e-08,
REL_RMS_ERR for log2_N:16
9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,9.0651664045e-08,
REL_RMS_ERR for log2_N:17
8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,
REL_RMS_ERR for log2_N:18
6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,
REL_RMS_ERR for log2_N:19
9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,
REL_RMS_ERR for log2_N:20
1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,
REL_RMS_ERR for log2_N:21
1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,
REL_RMS_ERR for log2_N:22
1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,

